wavenumber,lipid_like,mutated_lipid_like_1,mutated_lipid_like_2,protein_like,broad_background
2750.0,2.08e-06,1.54e-06,1.54e-06,7e-08,0.5698629
2759.677419,1.047e-05,7.76e-06,7.76e-06,1.27e-06,0.60411287
2769.354839,4.864e-05,3.675e-05,3.675e-05,1.63e-05,0.64067513
2779.032258,0.00022946,0.00018378,0.00018379,0.00015684,0.67907349
2788.709677,0.00123057,0.00108273,0.00108274,0.00113051,0.71870548
2798.387097,0.0070391,0.00666679,0.00666685,0.00610312,0.75885222
2808.064516,0.03521053,0.03460584,0.03460611,0.02467717,0.79869574
2817.741935,0.13445406,0.13425936,0.1342604,0.07473186,0.83734373
2827.419355,0.37054918,0.37222729,0.37222999,0.1695053,0.8738608
2837.096774,0.72357416,0.72713511,0.7271393,0.28795833,0.90730499
2846.774194,1.0,1.0,1.0,0.36640721,0.93676746
2856.451613,0.99281446,0.97927225,0.97924595,0.34937433,0.96141321
2866.129032,0.74267145,0.70919585,0.70907194,0.25090635,0.98052032
2875.806452,0.47222351,0.4219289,0.42149049,0.14306629,0.99351494
2885.483871,0.3110977,0.25400771,0.25265383,0.09626335,1.0
2895.16129,0.23433272,0.18186668,0.17812051,0.15670266,0.99977529
2904.83871,0.18298387,0.14533239,0.13600871,0.35070075,0.99284778
2914.516129,0.13328422,0.11964193,0.09877025,0.64688356,0.97943122
2924.193548,0.08705981,0.10703619,0.06505969,0.91471092,0.95993521
2933.870968,0.05054522,0.11529857,0.03961775,1.0,0.93494443
2943.548387,0.02604632,0.1474757,0.02563851,0.87588063,0.9051895
2953.225806,0.01191082,0.19889431,0.02502572,0.66067712,0.8715116
2962.903226,0.00483347,0.25752342,0.04067868,0.47583775,0.83482302
2972.580645,0.0017406,0.30702028,0.07776527,0.34917966,0.79606653
2982.258065,0.00055623,0.33211014,0.142459,0.25268182,0.7561757
2991.935484,0.00015774,0.32442089,0.2378746,0.16765918,0.71603881
3001.612903,3.97e-05,0.28576815,0.35865664,0.09723471,0.6764679
3011.290323,8.86e-06,0.22688529,0.48748965,0.04832948,0.63817457
3020.967742,1.76e-06,0.16234162,0.59715184,0.02045973,0.60175307
3030.645161,3.1e-07,0.10468104,0.65919866,0.00736502,0.56767102
3040.322581,5e-08,0.06082976,0.65577762,0.00225358,0.53626741
3050.0,1e-08,0.03185464,0.58790214,0.00058609,0.5077569
